team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Los Angeles Knight Riders,Texas Super Kings,60.0,30.0,50.0,1,3,16.666666666666664,83.33333333333334,151.4,176.6,8.2,5.8,204.0,25.0,Los Angeles Knight Riders,Bowl,17.8,63.0,1.0,Oakland Coliseum,Balanced,0
San Francisco Unicorns,MI New York,60.0,50.0,100.0,3,1,71.42857142857143,33.33333333333333,188.8,142.4,7.8,7.8,199.0,20.0,San Francisco Unicorns,Bowl,12.8,86.0,1.0,Oakland Coliseum,Balanced,0
Texas Super Kings,Seattle Orcas,30.0,40.0,33.33333333333333,4,0,83.33333333333334,33.33333333333333,180.0,144.2,4.6,7.4,196.0,33.33333333333333,Texas Super Kings,Bowl,13.9,75.0,0.0,Oakland Coliseum,Balanced,0
Los Angeles Knight Riders,Washington Freedom,70.0,60.0,0.0,3,1,57.14285714285714,16.666666666666664,188.0,160.4,6.4,6.0,190.0,28.57142857142857,Washington Freedom,Bat,15.9,71.0,0.0,Oakland Coliseum,Balanced,0
MI New York,Seattle Orcas,50.0,40.0,66.66666666666666,1,0,33.33333333333333,33.33333333333333,161.2,127.8,7.2,8.2,192.0,25.0,Seattle Orcas,Bat,16.9,69.0,25.0,Oakland Coliseum,Balanced,0
Texas Super Kings,San Francisco Unicorns,30.0,60.0,66.66666666666666,4,4,30.0,60.0,175.2,197.4,4.2,7.2,167.0,50.0,San Francisco Unicorns,Bowl,29.9,58.0,1.0,Grand Prairie Stadium,Balanced,1
MI New York,Washington Freedom,50.0,70.0,50.0,2,4,50.0,70.0,172.8,171.8,6.4,5.6,168.0,51.72413793103448,Washington Freedom,Bowl,29.5,57.0,25.0,Grand Prairie Stadium,Balanced,1
Seattle Orcas,Los Angeles Knight Riders,40.0,60.0,33.33333333333333,0,1,30.0,60.0,139.4,135.8,8.0,9.2,169.0,53.333333333333336,Los Angeles Knight Riders,Bat,33.4,43.0,3.0,Grand Prairie Stadium,Balanced,1
Washington Freedom,Texas Super Kings,70.0,30.0,100.0,4,3,70.0,30.0,183.0,189.6,6.2,5.8,174.0,52.94117647058824,Washington Freedom,Bowl,27.9,65.0,25.0,Grand Prairie Stadium,Balanced,0
MI New York,San Francisco Unicorns,50.0,60.0,0.0,1,4,50.0,60.0,183.6,197.8,6.0,6.6,171.0,56.25,San Francisco Unicorns,Bowl,28.8,62.0,25.0,Grand Prairie Stadium,Balanced,1
