team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Kandy Royals,Dambulla Sixers,40.0,40.0,0.0,1,2,60.0,60.0,173.4,146.6,6.4,4.4,144.0,44.44444444444444,Dambulla Sixers,Bowl,28.7,82.0,91.0,R. Premadasa Stadium,Balanced,0
Colombo Kaps,Galle Gallants,40.0,60.0,0.0,2,3,40.0,50.0,171.2,139.6,6.6,4.2,146.0,43.24324324324324,Colombo Kaps,Bowl,27.6,86.0,91.0,R. Premadasa Stadium,Balanced,0
Dambulla Sixers,Colombo Kaps,40.0,40.0,20.0,2,3,60.0,40.0,142.0,165.2,5.8,5.4,146.0,42.10526315789473,Colombo Kaps,Bowl,28.2,84.0,93.0,R. Premadasa Stadium,Balanced,0
Galle Gallants,Jaffna Kings,60.0,70.0,0.0,3,3,50.0,40.0,129.8,164.0,5.2,6.0,146.0,41.02564102564102,Galle Gallants,Bowl,28.6,80.0,88.0,R. Premadasa Stadium,Balanced,0
Colombo Kaps,Kandy Royals,40.0,40.0,0.0,2,2,40.0,60.0,144.4,178.4,5.6,5.6,146.0,40.0,Kandy Royals,Bowl,27.9,84.0,88.0,R. Premadasa Stadium,Balanced,1
Jaffna Kings,Kandy Royals,70.0,40.0,20.0,2,3,40.0,60.0,155.8,176.0,6.4,5.8,147.0,41.46341463414634,Kandy Royals,Bowl,27.9,86.0,40.0,R. Premadasa Stadium,Balanced,0
Galle Gallants,Jaffna Kings,60.0,70.0,0.0,3,3,50.0,40.0,130.8,148.4,5.0,6.4,148.0,40.476190476190474,Jaffna Kings,Bowl,28.1,85.0,84.0,R. Premadasa Stadium,Balanced,1
Jaffna Kings,Colombo Kaps,70.0,40.0,60.0,4,2,40.0,40.0,142.6,135.0,6.0,6.2,144.0,47.05882352941176,Colombo Kaps,Bowl,28.4,81.0,87.0,R. Premadasa Stadium,Balanced,0
Galle Gallants,Dambulla Sixers,60.0,40.0,20.0,0,2,50.0,60.0,142.8,127.6,8.2,8.0,145.0,44.44444444444444,Dambulla Sixers,Bowl,29.1,77.0,84.0,R. Premadasa Stadium,Balanced,0
Kandy Royals,Colombo Kaps,40.0,40.0,0.0,3,2,60.0,40.0,147.8,144.2,6.0,6.2,147.0,42.10526315789473,Colombo Kaps,Bat,28.1,83.0,84.0,R. Premadasa Stadium,Balanced,1
Dambulla Sixers,Jaffna Kings,40.0,70.0,0.0,2,5,60.0,40.0,106.2,147.2,6.2,5.2,148.0,45.0,Jaffna Kings,Bat,29.1,78.0,58.0,R. Premadasa Stadium,Balanced,0
Galle Gallants,Kandy Royals,60.0,40.0,20.0,1,2,50.0,60.0,106.4,141.8,7.2,6.0,147.0,42.857142857142854,Galle Gallants,Bat,28.0,83.0,58.0,R. Premadasa Stadium,Balanced,0
Kandy Royals,Dambulla Sixers,40.0,40.0,0.0,1,3,70.0,33.33333333333333,139.6,114.8,7.8,4.6,169.0,66.66666666666666,Dambulla Sixers,Bat,28.8,66.0,85.0,Pallekele International Stadium,Balanced,0
Galle Gallants,Jaffna Kings,60.0,70.0,20.0,2,4,44.44444444444444,50.0,116.4,139.0,6.2,5.0,168.0,60.0,Galle Gallants,Bat,22.6,92.0,85.0,Pallekele International Stadium,Balanced,1
Colombo Kaps,Dambulla Sixers,40.0,40.0,0.0,3,2,50.0,33.33333333333333,150.0,110.4,5.6,4.8,163.0,63.63636363636363,Colombo Kaps,Bowl,32.0,54.0,82.0,Pallekele International Stadium,Balanced,1
Kandy Royals,Jaffna Kings,40.0,70.0,0.0,1,4,70.0,50.0,139.6,136.8,7.0,5.0,166.0,66.66666666666666,Kandy Royals,Bowl,32.0,54.0,82.0,Pallekele International Stadium,Balanced,0
Colombo Kaps,Galle Gallants,40.0,60.0,0.0,2,2,50.0,44.44444444444444,164.6,109.0,5.8,6.2,162.0,61.53846153846154,Colombo Kaps,Bowl,26.98787878787879,79.12121212121212,68.84848484848484,Pallekele International Stadium,Balanced,0
Dambulla Sixers,Jaffna Kings,40.0,70.0,0.0,3,3,33.33333333333333,50.0,124.6,140.6,4.2,6.2,164.0,57.14285714285714,Jaffna Kings,Bowl,24.1,83.0,40.0,Pallekele International Stadium,Balanced,0
Galle Gallants,Kandy Royals,60.0,40.0,20.0,2,2,44.44444444444444,70.0,120.8,134.6,5.2,5.8,162.0,53.333333333333336,Galle Gallants,Bowl,26.5,76.0,65.0,Pallekele International Stadium,Balanced,1
Jaffna Kings,Colombo Kaps,70.0,40.0,80.0,2,2,50.0,50.0,132.8,168.6,6.0,5.6,164.0,56.25,Colombo Kaps,Bat,24.3,83.0,65.0,Pallekele International Stadium,Balanced,0
Dambulla Sixers,Galle Gallants,40.0,60.0,0.0,3,2,60.0,50.0,124.6,122.0,4.6,5.4,148.0,40.909090909090914,Dambulla Sixers,Bowl,27.6,84.0,96.0,R. Premadasa Stadium,Balanced,1
Jaffna Kings,Kandy Royals,70.0,40.0,20.0,2,3,40.0,60.0,128.2,141.6,5.8,5.6,147.0,39.130434782608695,Kandy Royals,Bat,30.3,73.0,78.0,R. Premadasa Stadium,Balanced,1
Dambulla Sixers,Colombo Kaps,40.0,40.0,0.0,4,2,60.0,40.0,149.6,165.2,5.0,6.2,149.0,41.66666666666667,Dambulla Sixers,Bat,27.5,84.0,78.0,R. Premadasa Stadium,Balanced,0
Jaffna Kings,Galle Gallants,70.0,60.0,80.0,2,1,40.0,50.0,136.4,146.4,5.6,7.2,149.0,40.0,Jaffna Kings,Bat,28.6,76.0,85.0,R. Premadasa Stadium,Balanced,1
Colombo Kaps,Kandy Royals,40.0,40.0,0.0,2,4,40.0,60.0,158.0,151.2,6.2,5.6,147.0,42.30769230769231,Colombo Kaps,Bat,27.9,80.0,85.0,R. Premadasa Stadium,Balanced,0
Kandy Royals,Dambulla Sixers,40.0,40.0,0.0,4,4,60.0,60.0,163.8,156.4,5.2,5.6,148.0,40.74074074074074,Kandy Royals,Bowl,27.6,78.0,84.0,R. Premadasa Stadium,Balanced,1
Colombo Kaps,Galle Gallants,40.0,60.0,0.0,2,1,40.0,50.0,160.4,128.4,6.8,6.8,148.0,42.857142857142854,Galle Gallants,Bowl,28.1,76.0,65.0,R. Premadasa Stadium,Balanced,1
Dambulla Sixers,Galle Gallants,40.0,60.0,0.0,5,2,60.0,50.0,157.6,120.0,5.8,5.4,146.0,44.827586206896555,Dambulla Sixers,Bowl,31.0,67.0,70.0,R. Premadasa Stadium,Balanced,1
Kandy Royals,Jaffna Kings,40.0,70.0,0.0,3,1,60.0,40.0,160.2,130.2,6.6,7.2,146.0,44.827586206896555,Jaffna Kings,Bowl,28.5,79.0,70.0,R. Premadasa Stadium,Balanced,0
Galle Gallants,Kandy Royals,60.0,40.0,20.0,2,3,50.0,60.0,111.6,174.2,6.8,7.8,147.0,41.935483870967744,Kandy Royals,Bat,27.2,81.0,65.0,R. Premadasa Stadium,Balanced,1
Dambulla Sixers,Kandy Royals,40.0,40.0,0.0,5,3,60.0,60.0,148.6,165.0,5.4,8.2,147.0,43.75,Dambulla Sixers,Bat,27.6,79.0,66.0,R. Premadasa Stadium,Balanced,1
Jaffna Kings,Galle Gallants,70.0,60.0,20.0,3,3,60.0,40.0,167.4,150.0,6.4,7.8,159.79166666666666,53.094814497903656,Galle Gallants,Bowl,29.4,75.0,65.0,Mahinda Rajapaksa International Stadium,Balanced,0
Colombo Kaps,Kandy Royals,40.0,40.0,0.0,3,2,50.0,44.44444444444444,146.0,126.0,6.8,6.0,137.0,0.0,Colombo Kaps,Bowl,26.4,83.0,65.0,Mahinda Rajapaksa International Stadium,Balanced,1
Dambulla Sixers,Jaffna Kings,40.0,70.0,0.0,1,3,40.0,60.0,131.4,156.2,7.4,7.4,168.0,50.0,Dambulla Sixers,Bat,27.1,72.0,6.0,Mahinda Rajapaksa International Stadium,Balanced,1
Galle Gallants,Kandy Royals,60.0,40.0,0.0,3,2,40.0,44.44444444444444,148.4,139.6,7.8,5.2,168.0,50.0,Galle Gallants,Bat,24.5,85.0,6.0,Mahinda Rajapaksa International Stadium,Balanced,1
Dambulla Sixers,Colombo Kaps,40.0,40.0,0.0,1,2,40.0,50.0,141.8,131.6,7.2,7.4,144.0,75.0,Colombo Kaps,Bat,25.0,50.0,5.0,Mahinda Rajapaksa International Stadium,Balanced,1
Kandy Royals,Jaffna Kings,40.0,70.0,0.0,3,4,70.0,50.0,145.4,158.8,5.8,5.6,159.37342767295598,52.38954547919395,Kandy Royals,Bowl,19.3,10.0,88.0,Pallekele International Stadium,Balanced,0
Colombo Kaps,Galle Gallants,40.0,60.0,0.0,2,2,50.0,44.44444444444444,134.6,145.8,8.2,8.0,159.37342767295598,52.38954547919395,Galle Gallants,Bat,25.5,73.0,56.0,Pallekele International Stadium,Balanced,1
Jaffna Kings,Dambulla Sixers,70.0,40.0,60.0,4,1,50.0,33.33333333333333,163.4,148.0,5.0,7.6,160.0,50.0,Dambulla Sixers,Bowl,20.2,90.0,56.0,Pallekele International Stadium,Balanced,0
Kandy Royals,Galle Gallants,40.0,60.0,0.0,4,2,70.0,44.44444444444444,145.8,154.8,5.4,7.6,160.0,50.0,Galle Gallants,Bat,26.2,73.0,17.0,Pallekele International Stadium,Balanced,1
Colombo Kaps,Jaffna Kings,40.0,70.0,0.0,2,4,50.0,50.0,146.2,169.4,7.6,5.0,187.0,33.33333333333333,Colombo Kaps,Bowl,22.3,80.0,17.0,Pallekele International Stadium,Balanced,1
Dambulla Sixers,Kandy Royals,40.0,40.0,0.0,1,3,33.33333333333333,70.0,159.8,147.0,7.4,6.0,178.0,60.0,Kandy Royals,Bat,25.7,78.0,80.0,Pallekele International Stadium,Balanced,1
Galle Gallants,Colombo Kaps,60.0,40.0,20.0,2,1,44.44444444444444,50.0,147.8,144.2,7.8,8.0,178.0,60.0,Colombo Kaps,Bowl,19.9,96.0,80.0,Pallekele International Stadium,Balanced,1
Jaffna Kings,Kandy Royals,70.0,40.0,0.0,4,4,50.0,70.0,164.8,160.8,5.4,4.6,180.0,66.66666666666666,Kandy Royals,Bat,26.0,81.0,80.0,Pallekele International Stadium,Balanced,1
Colombo Kaps,Dambulla Sixers,40.0,40.0,0.0,1,0,50.0,33.33333333333333,144.2,153.8,8.0,8.6,180.0,66.66666666666666,Colombo Kaps,Bowl,22.9,84.0,80.0,Pallekele International Stadium,Balanced,0
Dambulla Sixers,Galle Gallants,40.0,60.0,0.0,0,2,60.0,50.0,134.2,150.8,8.8,7.0,142.0,57.14285714285714,Dambulla Sixers,Bat,26.7,83.0,92.0,R. Premadasa Stadium,Balanced,1
Kandy Royals,Colombo Kaps,40.0,40.0,0.0,4,3,60.0,40.0,153.0,154.6,6.0,6.6,142.0,57.14285714285714,Colombo Kaps,Bat,26.0,74.0,92.0,R. Premadasa Stadium,Balanced,0
Galle Gallants,Jaffna Kings,60.0,70.0,20.0,2,3,50.0,40.0,154.2,167.4,7.0,5.2,142.0,44.44444444444444,Jaffna Kings,Bat,27.8,78.0,66.0,R. Premadasa Stadium,Balanced,1
Kandy Royals,Dambulla Sixers,40.0,40.0,0.0,4,1,60.0,60.0,150.0,145.6,5.2,8.0,145.0,50.0,Kandy Royals,Bat,25.3,88.0,66.0,R. Premadasa Stadium,Balanced,0
Jaffna Kings,Colombo Kaps,70.0,40.0,20.0,3,2,40.0,40.0,177.0,142.8,6.6,6.8,146.0,45.45454545454545,Jaffna Kings,Bowl,26.7,84.0,99.0,R. Premadasa Stadium,Balanced,0
Galle Gallants,Dambulla Sixers,60.0,40.0,25.0,2,1,50.0,60.0,160.8,138.6,7.2,8.4,145.0,41.66666666666667,Galle Gallants,Bat,24.7,91.0,99.0,R. Premadasa Stadium,Balanced,0
Kandy Royals,Jaffna Kings,40.0,70.0,0.0,4,4,60.0,40.0,152.4,173.8,5.2,5.6,143.0,46.15384615384615,Kandy Royals,Bat,26.5,83.0,65.0,R. Premadasa Stadium,Balanced,1
Colombo Kaps,Galle Gallants,40.0,60.0,0.0,2,1,40.0,50.0,138.6,151.8,7.2,7.6,143.0,46.15384615384615,Colombo Kaps,Bowl,25.1,87.0,65.0,R. Premadasa Stadium,Balanced,0
Kandy Royals,Colombo Kaps,40.0,40.0,0.0,4,3,60.0,40.0,152.8,126.0,5.4,6.2,141.0,46.666666666666664,Colombo Kaps,Bowl,25.4,84.0,55.0,R. Premadasa Stadium,Balanced,1
Jaffna Kings,Colombo Kaps,70.0,40.0,40.0,4,3,40.0,40.0,145.4,120.4,5.4,5.4,143.0,50.0,Jaffna Kings,Bowl,26.6,78.0,25.0,R. Premadasa Stadium,Balanced,0
Galle Gallants,Jaffna Kings,60.0,70.0,0.0,3,2,50.0,40.0,151.8,163.6,5.4,8.0,152.0,53.65853658536586,Jaffna Kings,Bowl,27.0,91.0,25.0,R. Premadasa Stadium,Balanced,0
Dambulla Sixers,Kandy Royals,40.0,40.0,0.0,3,1,60.0,60.0,173.8,133.8,5.6,8.0,152.0,52.38095238095239,Dambulla Sixers,Bat,30.9,71.0,56.0,R. Premadasa Stadium,Balanced,0
Colombo Kaps,Galle Gallants,40.0,60.0,0.0,3,3,40.0,50.0,161.4,149.6,6.0,6.4,153.0,51.162790697674424,Galle Gallants,Bat,28.0,80.0,56.0,R. Premadasa Stadium,Balanced,0
Jaffna Kings,Dambulla Sixers,70.0,40.0,0.0,2,3,40.0,60.0,156.0,173.8,8.2,5.6,152.0,52.38095238095239,Dambulla Sixers,Bat,32.1,53.0,25.0,R. Premadasa Stadium,Balanced,0
Kandy Royals,Galle Gallants,40.0,60.0,0.0,1,3,60.0,50.0,133.8,149.6,8.0,6.4,152.0,52.38095238095239,Kandy Royals,Bat,29.8,73.0,25.0,R. Premadasa Stadium,Balanced,1
Colombo Kaps,Dambulla Sixers,40.0,40.0,0.0,3,2,40.0,60.0,163.2,161.0,6.6,7.2,151.0,54.347826086956516,Dambulla Sixers,Bat,31.2,61.0,55.0,R. Premadasa Stadium,Balanced,1
Kandy Royals,Jaffna Kings,40.0,70.0,0.0,1,3,60.0,40.0,139.0,148.8,7.6,6.6,151.0,54.347826086956516,Kandy Royals,Bowl,29.3,76.0,55.0,R. Premadasa Stadium,Balanced,1
Dambulla Sixers,Galle Gallants,40.0,60.0,0.0,2,3,60.0,50.0,165.2,142.6,7.2,7.6,153.0,52.083333333333336,Dambulla Sixers,Bat,32.2,57.0,25.0,R. Premadasa Stadium,Balanced,1
Jaffna Kings,Colombo Kaps,70.0,40.0,0.0,4,3,40.0,40.0,151.6,164.4,6.6,6.6,153.0,52.083333333333336,Colombo Kaps,Bowl,29.3,77.0,25.0,R. Premadasa Stadium,Balanced,0
Galle Gallants,Kandy Royals,60.0,40.0,0.0,3,1,50.0,60.0,142.6,151.2,7.6,6.6,154.0,52.0,Galle Gallants,Bat,31.8,54.0,25.0,R. Premadasa Stadium,Balanced,1
Colombo Kaps,Dambulla Sixers,40.0,40.0,0.0,2,2,40.0,60.0,152.6,165.2,7.8,7.2,154.0,52.0,Dambulla Sixers,Bat,30.5,69.0,25.0,R. Premadasa Stadium,Balanced,1
Jaffna Kings,Kandy Royals,70.0,40.0,0.0,4,1,40.0,60.0,160.0,147.2,6.0,6.8,153.0,51.92307692307693,Jaffna Kings,Bowl,32.8,56.0,56.0,R. Premadasa Stadium,Balanced,0
Galle Gallants,Colombo Kaps,60.0,40.0,0.0,2,1,50.0,40.0,137.8,139.0,7.4,8.6,153.0,51.92307692307693,Colombo Kaps,Bat,32.2,63.0,56.0,R. Premadasa Stadium,Balanced,1
