team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Trent Rockets,Sunrisers Leeds,70.0,70.0,100.0,4,4,70.0,33.33333333333333,0.0,0.0,0.0,0.0,145.0,33.33333333333333,Trent Rockets,Bowl,22.0,66.0,17.0,Trent Bridge,Balanced,1
MI London,Manchesters Super Giants,80.0,30.0,0.0,2,3,90.0,25.0,137.5,112.0,6.5,7.0,140.0,60.0,Manchesters Super Giants,Bowl,20.5,69.0,15.0,Kennington Oval,Balanced,0
Birmingham Phoenix,Welsh Fire,40.0,20.0,100.0,2,1,70.0,66.66666666666666,125.8,126.8,8.8,5.2,161.0,62.5,Birmingham Phoenix,Bat,22.6,76.0,25.0,Edgbaston,Balanced,1
Sunrisers Leeds,MI London,70.0,80.0,0.0,4,3,60.0,33.33333333333333,155.8,144.6,5.4,6.4,151.0,66.66666666666666,Mi London,Bat,20.6,55.0,1.0,Headingley,Balanced,1
London Spirit,Trent Rockets,30.0,70.0,0.0,1,3,50.0,40.0,0.0,0.0,0.0,0.0,123.0,57.14285714285714,Trent Rockets,Bowl,21.3,63.0,86.0,Lords,Balanced,0
Welsh Fire,Southern Brave,20.0,50.0,20.0,2,2,20.0,80.0,127.2,135.2,5.2,7.2,138.0,77.77777777777779,Southern Brave,Bowl,17.3,87.0,90.0,Sophia Gardens,Balanced,1
Sunrisers Leeds,Manchesters Super Giants,70.0,30.0,0.0,4,2,60.0,60.0,0.0,0.0,0.0,0.0,155.0,70.0,Manchesters Super Giants,Bat,17.3,71.0,80.0,Headingley,Balanced,1
Birmingham Phoenix,MI London,40.0,80.0,100.0,2,3,70.0,0.0,120.8,156.8,8.4,6.6,155.0,66.66666666666666,Birmingham Phoenix,Bowl,17.4,67.0,80.0,Edgbaston,Balanced,0
Welsh Fire,Trent Rockets,20.0,70.0,0.0,2,3,20.0,100.0,0.0,0.0,0.0,0.0,132.0,80.0,Welsh Fire,Bowl,15.0,86.0,64.0,Sophia Gardens,Balanced,1
MI London,London Spirit,80.0,30.0,0.0,3,1,90.0,20.0,152.0,133.4,6.8,7.4,144.0,54.54545454545454,Mi London,Bat,20.3,72.0,5.0,Kennington Oval,Balanced,1
Southern Brave,Birmingham Phoenix,50.0,40.0,66.66666666666666,2,2,60.0,0.0,125.0,119.6,6.6,8.8,148.0,63.63636363636363,Birmingham Phoenix,Bat,19.9,72.0,1.0,The Rose Bowl,Balanced,0
Manchesters Super Giants,Trent Rockets,70.0,30.0,0.0,3,2,70.0,33.33333333333333,98.4518794053569,100.11540168448333,4.619617454825068,4.696676924738149,145.0,40.0,Trent Rockets,Bowl,15.6,82.0,3.0,Trent Bridge,Balanced,0
London Spirit,Sunrisers Leeds,30.0,70.0,50.0,1,3,50.0,66.66666666666666,146.4,159.0,7.4,6.6,132.0,50.0,Sunrisers Leeds,Bowl,20.3,82.0,86.0,Lords,Balanced,0
Trent Rockets,Birmingham Phoenix,70.0,40.0,20.0,2,2,70.0,40.0,157.6,128.4,6.2,8.4,148.0,45.45454545454545,Birmingham Phoenix,Bowl,22.9,60.0,40.0,Trent Bridge,Balanced,0
Southern Brave,MI London,50.0,80.0,50.0,3,3,60.0,66.66666666666666,125.2,163.4,6.0,6.2,146.0,58.333333333333336,Mi London,Bat,18.0,84.0,1.0,The Rose Bowl,Balanced,1
Manchesters Super Giants,Sunrisers Leeds,30.0,70.0,0.0,3,2,30.0,50.0,140.0,161.4,6.8,6.4,126.0,40.0,Manchesters Super Giants,Bat,22.5,57.0,84.0,Emirates Old Trafford,Balanced,0
Welsh Fire,London Spirit,20.0,30.0,50.0,1,2,20.0,33.33333333333333,126.8,150.6,6.6,7.4,134.0,81.81818181818183,Welsh Fire,Bat,18.3,80.0,85.0,Sophia Gardens,Balanced,0
MI London,Trent Rockets,80.0,70.0,0.0,4,2,90.0,0.0,163.6,163.4,6.2,5.8,148.0,50.0,Trent Rockets,Bat,20.9,66.0,4.0,Kennington Oval,Balanced,0
Sunrisers Leeds,Welsh Fire,70.0,20.0,0.0,1,2,60.0,66.66666666666666,137.8,119.8,7.8,6.0,155.0,70.0,Sunrisers Leeds,Bat,16.8,76.0,80.0,Headingley,Balanced,0
Manchesters Super Giants,Southern Brave,30.0,50.0,0.0,4,3,30.0,100.0,155.8,126.0,7.2,5.4,130.0,36.36363636363637,Manchesters Super Giants,Bowl,19.0,82.0,86.0,Emirates Old Trafford,Balanced,0
Birmingham Phoenix,London Spirit,40.0,30.0,100.0,1,2,70.0,0.0,123.6,156.4,8.4,7.2,156.0,60.0,London Spirit,Bowl,16.0,76.0,80.0,Edgbaston,Balanced,0
Manchesters Super Giants,Southern Brave,30.0,50.0,0.0,3,3,25.0,40.0,149.8,123.4,7.2,4.6,148.0,46.15384615384615,Manchesters Super Giants,Bowl,15.5,82.0,87.0,Kennington Oval,Balanced,0
MI London,Manchesters Super Giants,80.0,30.0,0.0,4,4,100.0,25.0,0.0,0.0,0.0,0.0,135.0,44.44444444444444,Manchesters Super Giants,Bowl,16.9,63.0,40.0,Lords,Balanced,0
Southern Brave,Welsh Fire,50.0,20.0,50.0,5,1,60.0,0.0,137.66666666666666,129.0,3.6666666666666665,8.0,139.0,100.0,Southern Brave,Bowl,17.2,10.0,2.0,The Rose Bowl,Balanced,0
MI London,London Spirit,80.0,30.0,0.0,3,1,90.0,20.0,140.6,136.8,5.6,6.8,126.0,60.0,Mi London,Bowl,21.5,38.0,5.0,Kennington Oval,Balanced,1
Manchesters Super Giants,Sunrisers Leeds,30.0,70.0,0.0,2,3,30.0,50.0,128.8,150.8,6.8,5.2,81.0,25.0,Sunrisers Leeds,Bowl,14.3,59.0,25.0,Emirates Old Trafford,Balanced,1
Trent Rockets,Birmingham Phoenix,70.0,40.0,0.0,2,4,70.0,40.0,135.5,167.75,6.0,4.25,139.0,75.0,Trent Rockets,Bowl,21.2,33.0,9.0,Trent Bridge,Balanced,0
